snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms
73,73,1764880487012,1764880487012,0,0
74,74,1764880487063,1764880487063,0,51
75,75,1764880487114,1764880487114,0,51
76,76,1764880487165,1764880487165,0,51
77,77,1764880487216,1764880487216,0,51
78,78,1764880487267,1764880487271,4,55
79,79,1764880487318,1764880487322,4,51
80,80,1764880487369,1764880487372,3,50
81,81,1764880487421,1764880487421,0,49
82,82,1764880487471,1764880487472,1,51
83,83,1764880487523,1764880487523,0,51
84,84,1764880487574,1764880487574,0,51
85,85,1764880487625,1764880487625,0,51
86,86,1764880487676,1764880487676,0,51
87,87,1764880487727,1764880487728,1,52
88,88,1764880487778,1764880487779,1,51
89,89,1764880487829,1764880487830,1,51
90,90,1764880487881,1764880487886,5,56
91,91,1764880487932,1764880487936,4,50
92,92,1764880487983,1764880487987,4,51
93,93,1764880488035,1764880488035,0,48
94,94,1764880488086,1764880488086,0,51
95,95,1764880488137,1764880488138,1,52
96,96,1764880488188,1764880488189,1,51
97,97,1764880488239,1764880488239,0,50
98,98,1764880488291,1764880488680,389,441
99,99,1764880488343,1764880488681,338,1
100,100,1764880488394,1764880488681,287,0
101,101,1764880488445,1764880488681,236,0
102,102,1764880488496,1764880488681,185,0
103,103,1764880488547,1764880488681,134,0
104,104,1764880488598,1764880488681,83,0
105,105,1764880488650,1764880488686,36,5
106,106,1764880488701,1764880488701,0,15
107,107,1764880488752,1764880488752,0,51
108,108,1764880488803,1764880488803,0,51
109,109,1764880488854,1764880488854,0,51
110,110,1764880488905,1764880488905,0,51
111,111,1764880488956,1764880488956,0,51
112,112,1764880489007,1764880489007,0,51
113,113,1764880489058,1764880489058,0,51
114,114,1764880489109,1764880489109,0,51
115,115,1764880489160,1764880489161,1,52
116,116,1764880489212,1764880489212,0,51
117,117,1764880489264,1764880489267,3,55
118,118,1764880489315,1764880489317,2,50
119,119,1764880489366,1764880489367,1,50
120,120,1764880489417,1764880489417,0,50
121,121,1764880489468,1764880489468,0,51
122,122,1764880489520,1764880489520,0,52
123,123,1764880489571,1764880489571,0,51
124,124,1764880489622,1764880489622,0,51
125,125,1764880489673,1764880489674,1,52
126,126,1764880489725,1764880489725,0,51
127,127,1764880489776,1764880489780,4,55
128,128,1764880489827,1764880489830,3,50
129,129,1764880489878,1764880489880,2,50
130,130,1764880489929,1764880489929,0,49
131,131,1764880489980,1764880489980,0,51
132,132,1764880490065,1764880490065,0,85
133,133,1764880490130,1764880490130,0,65
134,134,1764880490181,1764880490181,0,51
135,135,1764880490233,1764880490233,0,52
136,136,1764880490284,1764880490284,0,51
137,137,1764880490335,1764880490335,0,51
138,138,1764880490387,1764880490387,0,52
139,139,1764880490438,1764880490438,0,51
140,140,1764880490489,1764880490489,0,51
141,141,1764880490540,1764880490543,3,54
142,142,1764880490591,1764880490594,3,51
143,143,1764880490643,1764880490644,1,50
144,144,1764880490694,1764880490694,0,50
145,145,1764880490745,1764880490745,0,51
146,146,1764880490796,1764880490796,0,51
147,147,1764880490848,1764880490848,0,52
148,148,1764880490899,1764880490899,0,51
149,149,1764880490950,1764880490950,0,51
150,150,1764880491000,1764880491000,0,50
151,151,1764880491051,1764880491051,0,51
152,152,1764880491102,1764880491102,0,51
153,153,1764880491153,1764880491159,6,57
154,154,1764880491204,1764880491208,4,49
155,155,1764880491255,1764880491259,4,51
156,156,1764880491307,1764880491311,4,52
157,157,1764880491358,1764880491362,4,51
158,158,1764880491409,1764880491411,2,49
159,159,1764880491460,1764880491462,2,51
160,160,1764880491511,1764880491512,1,50
161,161,1764880491562,1764880491562,0,50
162,162,1764880491613,1764880491614,1,52
163,163,1764880491664,1764880491664,0,50
164,164,1764880491715,1764880491715,0,51
165,165,1764880491766,1764880491766,0,51
166,166,1764880491817,1764880491817,0,51
167,167,1764880491868,1764880491868,0,51
168,168,1764880491919,1764880491919,0,51
169,169,1764880491971,1764880491971,0,52
170,170,1764880492022,1764880492022,0,51
171,171,1764880492073,1764880492073,0,51
172,172,1764880492125,1764880492125,0,52
173,173,1764880492176,1764880492176,0,51
174,174,1764880492227,1764880492228,1,52
175,175,1764880492279,1764880492283,4,55
176,176,1764880492330,1764880492334,4,51
177,177,1764880492381,1764880492385,4,51
178,178,1764880492432,1764880492435,3,50
179,179,1764880492483,1764880492486,3,51
180,180,1764880492534,1764880492535,1,49
181,181,1764880492585,1764880492585,0,50
182,182,1764880492636,1764880492636,0,51
183,183,1764880492688,1764880492688,0,52
184,184,1764880492739,1764880492739,0,51
185,185,1764880492789,1764880492789,0,50
186,186,1764880492840,1764880492841,1,52
187,187,1764880492892,1764880492892,0,51
188,188,1764880492943,1764880492943,0,51
189,189,1764880492994,1764880492994,0,51
190,190,1764880493045,1764880493046,1,52
191,191,1764880493097,1764880493097,0,51
192,192,1764880493148,1764880493148,0,51
193,193,1764880493199,1764880493203,4,55
194,194,1764880493250,1764880493253,3,50
195,195,1764880493302,1764880493304,2,51
196,196,1764880493353,1764880493353,0,49
197,197,1764880493404,1764880493404,0,51
198,198,1764880493455,1764880493455,0,51
199,199,1764880493506,1764880493506,0,51
200,200,1764880493557,1764880493557,0,51
201,201,1764880493608,1764880493608,0,51
202,202,1764880493659,1764880493659,0,51
203,203,1764880493710,1764880493710,0,51
204,204,1764880493761,1764880493761,0,51
205,205,1764880493812,1764880493812,0,51
206,206,1764880493863,1764880493863,0,51
207,207,1764880493914,1764880493914,0,51
208,208,1764880493965,1764880493965,0,51
209,209,1764880494016,1764880494017,1,52
210,210,1764880494068,1764880494068,0,51
211,211,1764880494119,1764880494124,5,56
212,212,1764880494170,1764880494177,7,53
213,213,1764880494221,1764880494281,60,104
214,214,1764880494272,1764880494281,9,0
215,215,1764880494323,1764880494324,1,43
216,216,1764880494374,1764880494375,1,51
217,217,1764880494426,1764880494426,0,51
218,218,1764880494477,1764880494477,0,51
219,219,1764880494528,1764880494528,0,51
220,220,1764880494579,1764880494579,0,51
221,221,1764880494630,1764880494630,0,51
222,222,1764880494681,1764880494686,5,56
223,223,1764880494732,1764880494735,3,49
224,224,1764880494783,1764880494787,4,52
225,225,1764880494835,1764880494835,0,48
226,226,1764880494886,1764880494886,0,51
227,227,1764880494937,1764880494937,0,51
228,228,1764880494989,1764880494989,0,52
229,229,1764880495040,1764880495040,0,51
230,230,1764880495091,1764880495091,0,51
231,231,1764880495142,1764880495142,0,51
232,232,1764880495194,1764880495194,0,52
233,233,1764880495244,1764880495251,7,57
234,234,1764880495296,1764880495296,0,45
235,235,1764880495346,1764880495349,3,53
236,236,1764880495397,1764880495399,2,50
237,237,1764880495449,1764880495449,0,50
238,238,1764880495500,1764880495500,0,51
239,239,1764880495551,1764880495551,0,51
240,240,1764880495602,1764880495602,0,51
241,241,1764880495653,1764880495654,1,52
242,242,1764880495705,1764880495705,0,51
243,243,1764880495756,1764880495757,1,52
244,244,1764880495808,1764880495808,0,51
245,245,1764880495858,1764880495858,0,50
246,246,1764880495910,1764880495910,0,52
247,247,1764880495961,1764880495961,0,51
248,248,1764880496012,1764880496012,0,51
249,249,1764880496063,1764880496067,4,55
250,250,1764880496114,1764880496118,4,51
251,251,1764880496165,1764880496166,1,48
252,252,1764880496216,1764880496219,3,53
253,253,1764880496297,1764880496302,5,83
254,254,1764880496370,1764880496371,1,69
255,255,1764880496422,1764880496422,0,51
256,256,1764880496474,1764880496480,6,58
257,257,1764880496525,1764880496530,5,50
258,258,1764880496576,1764880496578,2,48
259,259,1764880496627,1764880496630,3,52
260,260,1764880496678,1764880496679,1,49
261,261,1764880496729,1764880496729,0,50
262,262,1764880496780,1764880496781,1,52
263,263,1764880496831,1764880496831,0,50
264,264,1764880496882,1764880496882,0,51
265,265,1764880496934,1764880496934,0,52
266,266,1764880496984,1764880496985,1,51
267,267,1764880497036,1764880497036,0,51
268,268,1764880497087,1764880497087,0,51
269,269,1764880497139,1764880497143,4,56
270,270,1764880497190,1764880497191,1,48
271,271,1764880497241,1764880497241,0,50
272,272,1764880497292,1764880497292,0,51
273,273,1764880497343,1764880497343,0,51
274,274,1764880497394,1764880497394,0,51
275,275,1764880497445,1764880497446,1,52
276,276,1764880497497,1764880497497,0,51
277,277,1764880497548,1764880497548,0,51
278,278,1764880497599,1764880497599,0,51
279,279,1764880497650,1764880497657,7,58
280,280,1764880497702,1764880497705,3,48
281,281,1764880497752,1764880497755,3,50
282,282,1764880497803,1764880497806,3,51
283,283,1764880497855,1764880497860,5,54
284,284,1764880497906,1764880497907,1,47
285,285,1764880497957,1764880497958,1,51
286,286,1764880498008,1764880498008,0,50
287,287,1764880498059,1764880498059,0,51
288,288,1764880498110,1764880498110,0,51
289,289,1764880498161,1764880498161,0,51
290,290,1764880498212,1764880498213,1,52
291,291,1764880498264,1764880498265,1,52
292,292,1764880498315,1764880498315,0,50
293,293,1764880498366,1764880498366,0,51
294,294,1764880498417,1764880498418,1,52
295,295,1764880498468,1764880498469,1,51
296,296,1764880498520,1764880498524,4,55
297,297,1764880498571,1764880498573,2,49
298,298,1764880498622,1764880498622,0,49
299,299,1764880498673,1764880498673,0,51
300,300,1764880498724,1764880498725,1,52
301,301,1764880498778,1764880498779,1,54
302,302,1764880498831,1764880498831,0,52
303,303,1764880498883,1764880498886,3,55
