timestamp,cpu_percent
1764862981690,0.0
1764862981747,14.1
1764862981798,10.6
1764862981849,15.7
1764862981900,11.1
1764862981951,8.8
1764862982002,12.1
1764862982052,29.5
1764862982103,26.0
1764862982154,11.1
1764862982204,8.2
1764862982255,14.6
1764862982305,22.9
1764862982356,22.2
1764862982407,15.5
1764862982457,20.8
1764862982508,25.0
1764862982558,25.5
1764862982609,18.6
1764862982660,22.0
1764862982710,30.6
1764862982761,21.6
1764862982816,6.8
1764862982866,14.0
1764862982927,6.5
1764862982987,6.2
1764862983047,6.2
1764862983107,6.2
1764862983162,6.1
1764862983222,6.2
1764862983282,6.2
1764862983342,6.3
1764862983402,6.5
1764862983462,6.0
1764862983522,6.2
1764862983582,6.2
1764862983643,10.2
1764862983694,13.7
1764862983745,16.0
1764862983796,29.7
1764862983847,27.1
1764862983897,22.4
1764862983948,22.9
1764862983999,25.0
1764862984050,32.7
1764862984100,36.7
1764862984150,16.7
1764862984201,29.6
1764862984252,23.3
1764862984302,29.2
1764862984353,22.9
1764862984404,28.8
1764862984454,17.3
1764862984505,17.9
1764862984556,14.3
1764862984616,5.8
1764862984676,6.2
1764862984727,18.2
1764862984777,21.8
1764862984828,13.7
1764862984878,5.3
1764862984939,6.2
1764862984999,7.0
1764862985059,6.5
1764862985119,5.2
1764862985179,6.2
1764862985239,6.9
1764862985299,6.1
1764862985359,5.9
1764862985419,7.0
1764862985479,5.5
1764862985539,6.2
1764862985590,6.2
1764862985650,6.2
1764862985710,6.3
1764862985770,6.2
1764862985830,6.2
1764862985881,6.7
1764862985941,6.6
1764862986001,5.7
1764862986061,6.5
1764862986121,6.2
1764862986181,6.1
1764862986241,6.2
1764862986301,7.1
1764862986361,6.2
1764862986421,5.6
1764862986481,6.8
1764862986541,5.9
1764862986601,6.0
1764862986661,6.5
1764862986721,6.2
1764862986772,18.0
1764862986823,16.7
1764862986874,21.9
1764862986925,6.7
1764862986976,5.9
1764862987027,8.0
1764862987087,6.5
1764862987138,14.5
1764862987189,7.7
1764862987239,9.6
1764862987290,8.2
1764862987350,6.2
1764862987410,6.9
1764862987470,6.2
1764862987530,8.7
1764862987581,6.1
1764862987632,10.4
1764862987683,8.8
1764862987733,23.3
1764862987784,19.0
1764862987834,19.6
1764862987885,22.9
