client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms
1,0,0,1764882588811,1764882588811,0
1,1,1,1764882588862,1764882588862,0
1,2,2,1764882588917,1764882588917,0
1,3,3,1764882588968,1764882588968,0
1,4,4,1764882589019,1764882589019,0
1,5,5,1764882589070,1764882589070,0
1,6,6,1764882589121,1764882589121,0
1,7,7,1764882589172,1764882589172,0
1,8,8,1764882589222,1764882589222,0
1,9,9,1764882589273,1764882589273,0
1,10,10,1764882589324,1764882589324,0
1,11,11,1764882589375,1764882589375,0
1,12,12,1764882589427,1764882589427,0
1,13,13,1764882589479,1764882589479,0
1,14,14,1764882589530,1764882589530,0
1,15,15,1764882589581,1764882589581,0
1,16,16,1764882589632,1764882589632,0
1,17,17,1764882589683,1764882589683,0
1,18,18,1764882589734,1764882589734,0
1,19,19,1764882589785,1764882589785,0
1,20,20,1764882589836,1764882589836,0
1,21,21,1764882589887,1764882589887,0
1,22,22,1764882589938,1764882589938,0
1,23,23,1764882589989,1764882589989,0
1,24,24,1764882590040,1764882590040,0
1,25,25,1764882590091,1764882590091,0
1,26,26,1764882590142,1764882590142,0
1,27,27,1764882590193,1764882590193,0
1,28,28,1764882590244,1764882590244,0
1,29,29,1764882590295,1764882590295,0
1,30,30,1764882590346,1764882590346,0
1,31,31,1764882590397,1764882590397,0
1,32,32,1764882590448,1764882590448,0
1,33,33,1764882590499,1764882590499,0
1,34,34,1764882590550,1764882590550,0
1,35,35,1764882590601,1764882590601,0
1,36,36,1764882590652,1764882590652,0
1,37,37,1764882590702,1764882590702,0
1,38,38,1764882590753,1764882590753,0
1,39,39,1764882590804,1764882590804,0
1,40,40,1764882590855,1764882590855,0
1,41,41,1764882590905,1764882590905,0
1,42,42,1764882590956,1764882590956,0
1,43,43,1764882591007,1764882591007,0
1,44,44,1764882591058,1764882591058,0
1,45,45,1764882591109,1764882591109,0
1,46,46,1764882591160,1764882591160,0
1,47,47,1764882591212,1764882591212,0
1,48,48,1764882591263,1764882591263,0
1,49,49,1764882591314,1764882591314,0
1,50,50,1764882591364,1764882591364,0
1,51,51,1764882591415,1764882591415,0
1,52,52,1764882591466,1764882591466,0
1,53,53,1764882591517,1764882591517,0
1,54,54,1764882591568,1764882591568,0
1,55,55,1764882591619,1764882591619,0
1,56,56,1764882591669,1764882591669,0
1,57,57,1764882591720,1764882591720,0
1,58,58,1764882591771,1764882591771,0
1,59,59,1764882591822,1764882591822,0
1,60,60,1764882591873,1764882591873,0
1,61,61,1764882591925,1764882591925,0
1,62,62,1764882591976,1764882591976,0
1,63,63,1764882592027,1764882592027,0
2,63,63,1764882592027,1764882592027,0
1,64,64,1764882592078,1764882592078,0
2,64,64,1764882592078,1764882592078,0
1,65,65,1764882592129,1764882592129,0
2,65,65,1764882592129,1764882592129,0
1,66,66,1764882592180,1764882592180,0
2,66,66,1764882592180,1764882592180,0
1,67,67,1764882592231,1764882592231,0
2,67,67,1764882592231,1764882592231,0
1,68,68,1764882592282,1764882592282,0
2,68,68,1764882592282,1764882592282,0
1,69,69,1764882592333,1764882592333,0
2,69,69,1764882592333,1764882592333,0
1,70,70,1764882592384,1764882592384,0
2,70,70,1764882592384,1764882592384,0
1,71,71,1764882592435,1764882592435,0
2,71,71,1764882592436,1764882592436,0
1,72,72,1764882592486,1764882592486,0
2,72,72,1764882592487,1764882592487,0
1,73,73,1764882592538,1764882592538,0
2,73,73,1764882592538,1764882592538,0
1,74,74,1764882592589,1764882592589,0
2,74,74,1764882592589,1764882592589,0
1,75,75,1764882592640,1764882592640,0
2,75,75,1764882592641,1764882592641,0
1,76,76,1764882592692,1764882592692,0
2,76,76,1764882592692,1764882592692,0
1,77,77,1764882592743,1764882592743,0
2,77,77,1764882592743,1764882592743,0
1,78,78,1764882592794,1764882592794,0
2,78,78,1764882592795,1764882592795,0
1,79,79,1764882592846,1764882592846,0
2,79,79,1764882592846,1764882592846,0
1,80,80,1764882592897,1764882592897,0
2,80,80,1764882592897,1764882592897,0
1,81,81,1764882592948,1764882592948,0
2,81,81,1764882592948,1764882592948,0
1,82,82,1764882592999,1764882592999,0
2,82,82,1764882593000,1764882593000,0
1,83,83,1764882593050,1764882593050,0
2,83,83,1764882593051,1764882593051,0
1,84,84,1764882593102,1764882593102,0
2,84,84,1764882593102,1764882593102,0
1,85,85,1764882593153,1764882593153,0
2,85,85,1764882593153,1764882593153,0
1,86,86,1764882593204,1764882593204,0
2,86,86,1764882593205,1764882593205,0
1,87,87,1764882593256,1764882593256,0
2,87,87,1764882593256,1764882593256,0
1,88,88,1764882593307,1764882593307,0
2,88,88,1764882593307,1764882593307,0
1,89,89,1764882593358,1764882593358,0
2,89,89,1764882593358,1764882593358,0
1,90,90,1764882593409,1764882593409,0
2,90,90,1764882593409,1764882593409,0
1,91,91,1764882593460,1764882593459,0
2,91,91,1764882593460,1764882593460,0
1,92,92,1764882593510,1764882593510,0
2,92,92,1764882593511,1764882593511,0
1,93,93,1764882593561,1764882593561,0
2,93,93,1764882593561,1764882593561,0
1,94,94,1764882593612,1764882593612,0
2,94,94,1764882593613,1764882593613,0
1,95,95,1764882593663,1764882593663,0
2,95,95,1764882593664,1764882593664,0
1,96,96,1764882593714,1764882593714,0
2,96,96,1764882593715,1764882593715,0
1,97,97,1764882593765,1764882593765,0
2,97,97,1764882593766,1764882593766,0
1,98,98,1764882593816,1764882593816,0
2,98,98,1764882593816,1764882593816,0
1,99,99,1764882593867,1764882593867,0
2,99,99,1764882593867,1764882593867,0
1,100,100,1764882593918,1764882593918,0
2,100,100,1764882593918,1764882593918,0
1,101,101,1764882593969,1764882593969,0
2,101,101,1764882593969,1764882593969,0
1,102,102,1764882594021,1764882594021,0
2,102,102,1764882594021,1764882594021,0
1,103,103,1764882594072,1764882594072,0
2,103,103,1764882594072,1764882594072,0
1,104,104,1764882594123,1764882594123,0
2,104,104,1764882594123,1764882594123,0
1,105,105,1764882594174,1764882594174,0
2,105,105,1764882594174,1764882594174,0
1,106,106,1764882594225,1764882594225,0
2,106,106,1764882594225,1764882594225,0
