snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms
63,63,1764882592027,1764882592027,0,0
64,64,1764882592078,1764882592078,0,51
65,65,1764882592129,1764882592129,0,51
66,66,1764882592180,1764882592180,0,51
67,67,1764882592231,1764882592231,0,51
68,68,1764882592282,1764882592282,0,51
69,69,1764882592333,1764882592337,4,55
70,70,1764882592384,1764882592388,4,51
71,71,1764882592435,1764882592436,1,48
72,72,1764882592487,1764882592487,0,51
73,73,1764882592538,1764882592538,0,51
74,74,1764882592589,1764882592589,0,51
75,75,1764882592640,1764882592641,1,52
76,76,1764882592692,1764882592692,0,51
77,77,1764882592743,1764882592743,0,51
78,78,1764882592794,1764882592795,1,52
79,79,1764882592846,1764882592846,0,51
80,80,1764882592897,1764882592901,4,55
81,81,1764882592948,1764882592954,6,53
82,82,1764882592999,1764882593004,5,50
83,83,1764882593051,1764882593052,1,48
84,84,1764882593102,1764882593104,2,52
85,85,1764882593153,1764882593155,2,51
86,86,1764882593204,1764882593205,1,50
87,87,1764882593256,1764882593256,0,51
88,88,1764882593307,1764882593307,0,51
89,89,1764882593358,1764882593358,0,51
90,90,1764882593409,1764882593409,0,51
91,91,1764882593460,1764882593460,0,51
92,92,1764882593510,1764882593510,0,50
93,93,1764882593561,1764882593561,0,51
94,94,1764882593612,1764882593613,1,52
95,95,1764882593663,1764882593663,0,50
96,96,1764882593714,1764882593715,1,52
97,97,1764882593765,1764882593765,0,50
98,98,1764882593816,1764882593816,0,51
99,99,1764882593867,1764882593867,0,51
100,100,1764882593918,1764882593918,0,51
101,101,1764882593969,1764882593973,4,55
102,102,1764882594021,1764882594023,2,50
103,103,1764882594072,1764882594073,1,50
104,104,1764882594123,1764882594124,1,51
105,105,1764882594174,1764882594174,0,50
106,106,1764882594225,1764882594225,0,51
107,107,1764882594276,1764882594276,0,51
108,108,1764882594327,1764882594327,0,51
109,109,1764882594378,1764882594378,0,51
110,110,1764882594430,1764882594430,0,52
111,111,1764882594481,1764882594481,0,51
112,112,1764882594531,1764882594532,1,51
113,113,1764882594582,1764882594582,0,50
114,114,1764882594634,1764882594635,1,53
115,115,1764882594686,1764882594686,0,51
116,116,1764882594736,1764882594737,1,51
117,117,1764882594788,1764882594793,5,56
118,118,1764882594839,1764882594843,4,50
119,119,1764882594890,1764882594895,5,52
120,120,1764882594942,1764882594944,2,49
121,121,1764882594992,1764882594996,4,52
122,122,1764882595043,1764882595047,4,51
123,123,1764882595095,1764882595097,2,50
124,124,1764882595146,1764882595146,0,49
125,125,1764882595197,1764882595197,0,51
126,126,1764882595249,1764882595249,0,52
127,127,1764882595300,1764882595300,0,51
128,128,1764882595351,1764882595351,0,51
129,129,1764882595402,1764882595402,0,51
130,130,1764882595453,1764882595454,1,52
131,131,1764882595505,1764882595505,0,51
132,132,1764882595556,1764882595556,0,51
133,133,1764882595607,1764882595607,0,51
134,134,1764882595658,1764882595663,5,56
135,135,1764882595709,1764882595712,3,49
136,136,1764882595760,1764882595768,8,56
137,137,1764882595812,1764882595814,2,46
138,138,1764882595862,1764882595863,1,49
139,139,1764882595914,1764882595919,5,56
140,140,1764882595966,1764882595966,0,47
141,141,1764882596017,1764882596017,0,51
142,142,1764882596068,1764882596068,0,51
143,143,1764882596119,1764882596119,0,51
144,144,1764882596171,1764882596171,0,52
145,145,1764882596222,1764882596222,0,51
146,146,1764882596273,1764882596273,0,51
147,147,1764882596324,1764882596327,3,54
148,148,1764882596375,1764882596376,1,49
149,149,1764882596426,1764882596427,1,51
150,150,1764882596477,1764882596478,1,51
151,151,1764882596529,1764882596529,0,51
152,152,1764882596580,1764882596580,0,51
153,153,1764882596630,1764882596631,1,51
154,154,1764882596682,1764882596682,0,51
155,155,1764882596733,1764882596733,0,51
156,156,1764882596784,1764882596784,0,51
157,157,1764882596835,1764882596835,0,51
158,158,1764882596886,1764882596886,0,51
159,159,1764882596937,1764882596937,0,51
160,160,1764882596988,1764882596988,0,51
161,161,1764882597040,1764882597046,6,58
162,162,1764882597092,1764882597092,0,46
163,163,1764882597143,1764882597143,0,51
164,164,1764882597194,1764882597194,0,51
165,165,1764882597245,1764882597246,1,52
166,166,1764882597297,1764882597297,0,51
167,167,1764882597348,1764882597348,0,51
168,168,1764882597399,1764882597399,0,51
169,169,1764882597450,1764882597450,0,51
170,170,1764882597501,1764882597501,0,51
171,171,1764882597552,1764882597556,4,55
172,172,1764882597603,1764882597606,3,50
173,173,1764882597654,1764882597657,3,51
174,174,1764882597705,1764882597705,0,48
175,175,1764882597756,1764882597757,1,52
176,176,1764882597808,1764882597808,0,51
177,177,1764882597858,1764882597859,1,51
178,178,1764882597910,1764882597910,0,51
179,179,1764882597961,1764882597961,0,51
180,180,1764882598012,1764882598013,1,52
181,181,1764882598063,1764882598063,0,50
182,182,1764882598114,1764882598119,5,56
183,183,1764882598165,1764882598169,4,50
184,184,1764882598216,1764882598220,4,51
185,185,1764882598267,1764882598270,3,50
186,186,1764882598319,1764882598319,0,49
187,187,1764882598369,1764882598558,189,239
188,188,1764882598420,1764882598558,138,0
189,189,1764882598471,1764882598563,92,5
190,190,1764882598523,1764882598564,41,1
191,191,1764882598573,1764882598574,1,10
192,192,1764882598625,1764882598628,3,54
193,193,1764882598675,1764882598679,4,51
194,194,1764882598726,1764882598727,1,48
195,195,1764882598778,1764882598778,0,51
196,196,1764882598829,1764882598829,0,51
197,197,1764882598880,1764882598881,1,52
198,198,1764882598940,1764882598940,0,59
199,199,1764882598992,1764882598992,0,52
200,200,1764882599043,1764882599043,0,51
201,201,1764882599094,1764882599094,0,51
202,202,1764882599145,1764882599145,0,51
203,203,1764882599197,1764882599201,4,56
204,204,1764882599248,1764882599251,3,50
205,205,1764882599299,1764882599302,3,51
206,206,1764882599350,1764882599350,0,48
207,207,1764882599401,1764882599402,1,52
208,208,1764882599452,1764882599453,1,51
209,209,1764882599504,1764882599504,0,51
210,210,1764882599555,1764882599555,0,51
211,211,1764882599606,1764882599606,0,51
212,212,1764882599657,1764882599657,0,51
213,213,1764882599709,1764882599713,4,56
214,214,1764882599760,1764882599764,4,51
215,215,1764882599811,1764882599813,2,49
216,216,1764882599862,1764882599864,2,51
217,217,1764882599914,1764882599915,1,51
218,218,1764882599965,1764882599965,0,50
219,219,1764882600016,1764882600016,0,51
220,220,1764882600067,1764882600067,0,51
221,221,1764882600119,1764882600119,0,52
222,222,1764882600170,1764882600170,0,51
223,223,1764882600221,1764882600221,0,51
224,224,1764882600272,1764882600277,5,56
225,225,1764882600323,1764882600325,2,48
226,226,1764882600374,1764882600374,0,49
227,227,1764882600425,1764882600426,1,52
228,228,1764882600478,1764882600478,0,52
229,229,1764882600529,1764882600529,0,51
230,230,1764882600580,1764882600581,1,52
231,231,1764882600631,1764882600632,1,51
232,232,1764882600683,1764882600683,0,51
233,233,1764882600734,1764882600734,0,51
234,234,1764882600786,1764882600786,0,52
235,235,1764882600837,1764882600841,4,55
236,236,1764882600887,1764882600890,3,49
237,237,1764882600938,1764882600939,1,49
238,238,1764882600990,1764882600990,0,51
239,239,1764882601041,1764882601041,0,51
240,240,1764882601092,1764882601092,0,51
241,241,1764882601143,1764882601144,1,52
242,242,1764882601195,1764882601195,0,51
243,243,1764882601246,1764882601246,0,51
244,244,1764882601297,1764882601297,0,51
245,245,1764882601348,1764882601348,0,51
246,246,1764882601399,1764882601399,0,51
247,247,1764882601450,1764882601451,1,52
248,248,1764882601501,1764882601502,1,51
249,249,1764882601552,1764882601556,4,54
250,250,1764882601603,1764882601607,4,51
251,251,1764882601655,1764882601657,2,50
252,252,1764882601706,1764882601706,0,49
253,253,1764882601757,1764882601757,0,51
254,254,1764882601808,1764882601809,1,52
255,255,1764882601860,1764882601860,0,51
256,256,1764882601911,1764882601911,0,51
257,257,1764882601962,1764882601962,0,51
258,258,1764882602013,1764882602013,0,51
259,259,1764882602064,1764882602068,4,55
